Code,Lounge,Baggage,Pets
4C,0,1,0
4M,0,1,0
4U,0,1,1
5F,0,0,1
7R,0,0,0
9W,0,0,0
A3,0,1,0
A5,0,1,0
AA,0,0,0
AC,0,0,0
AD,0,0,0
AF,0,1,1
AI,0,0,0
AM,0,1,0
AR,0,0,0
AT,0,1,1
AV,0,1,1
AY,0,1,1
AZ,1,1,0
B6,0,0,0
BA,0,0,0
BE,0,1,0
BF,1,1,1
BI,0,1,0
BM,0,0,0
BT,0,1,1
CA,0,0,0
CI,0,0,0
CX,0,0,0
CY,0,0,0
CZ,0,1,0
D8,0,0,1
DE,0,1,1
DI,0,0,1
DL,0,0,0
DN,0,0,1
DY,0,0,1
EK,0,0,0
EN,0,1,1
EY,0,1,0
FD,0,0,0
FI,0,1,0
FJ,0,0,0
GA,0,1,0
H2,0,0,0
HA,0,0,0
HQ,0,0,1
HR,0,0,0
HU,0,0,0
HV,0,0,1
IB,0,1,0
IG,0,1,1
J2,0,1,0
JJ,0,1,0
JP,0,1,1
JU,1,1,1
KA,0,0,0
KC,0,0,0
KK,0,0,1
KL,0,1,1
KQ,0,1,0
LA,0,1,0
LG,0,1,1
LH,0,1,0
LO,0,1,1
LP,0,1,0
LR,0,1,1
LX,0,1,0
LY,0,1,1
MD,0,1,0
MF,0,1,0
MH,0,0,0
MK,1,1,0
MS,0,1,1
MT,0,1,0
NF,0,1,0
NH,1,0,0
NP,0,0,0
NT,0,1,1
NZ,0,1,0
O6,0,1,1
OK,1,1,1
OS,0,1,0
OU,0,1,1
OZ,0,0,0
PC,0,1,0
PD,0,0,0
PG,0,1,0
PR,0,1,0
PS,0,1,1
QF,0,1,0
QR,1,1,1
QZ,0,1,0
RC,0,1,1
RJ,1,1,0
S4,0,0,0
S7,0,1,0
SA,0,1,0
SE,1,1,1
SK,0,1,1
SN,0,1,0
SP,0,0,1
SS,0,1,1
SU,0,0,0
SV,0,0,0
SW,0,1,0
SX,0,0,0
TA,0,1,1
TF,0,1,1
TK,0,1,0
TN,0,0,1
TP,1,1,1
TS,0,0,0
TU,0,1,0
TX,1,0,1
U2,0,0,0
U6,0,1,1
UA,0,0,0
UK,0,0,0
UL,0,0,0
UT,0,1,0
UU,1,1,1
UX,0,1,0
VA,0,1,0
VS,0,0,0
VX,0,0,1
W2,0,1,0
WF,0,1,0
WS,0,0,0
WY,1,1,0
XK,0,1,1
XL,0,1,0
ZI,0,1,1
