Carrier Code,Sum:
AF,1484471
LH,1298116
IB,1072251
TP,997131
TK,897978
KL,747173
AZ,708021
UX,629768
BA,526608
LX,477046
TO,412890
AT,400171
SK,398434
EK,365436
AY,328996
TU,320989
OS,305955
SN,297214
A3,287300
UA,265821
SU,251198
ZI,241748
DL,219931
LO,210317
A5,208528
AV,205301
EY,193653
D8,193575
QR,188155
AH,183998
LA,181038
DY,174218
AA,171734
TG,153284
PS,145868
VY,145111
AC,135043
CA,130674
KM,124818
OK,119803
PC,111215
AM,103752
AI,102656
SQ,100098
OU,99228
XK,96247
SS,94208
BT,93526
JU,89488
MS,86557
PG,85023
ET,81101
CX,80936
RO,76296
0B,75206
CZ,74288
FI,72467
VS,72152
VN,71846
KK,70778
TX,70172
MU,69210
LG,67393
SA,64267
9W,62589
EW,59856
CM,58649
QF,58316
AB,58180
JJ,57384
KQ,57199
SE,55765
AD,54873
SV,54704
WY,53625
JP,52516
V7,52280
HG,50127
NT,44203
LY,42580
AR,42506
ME,42098
RJ,41206
FB,40625
AS,39910
S7,38442
TS,37419
DI,36577
QS,35502
EI,34883
HV,34283
G3,33971
FZ,33600
NH,33593
S4,32498
MH,31686
DE,31458
WS,30074
WF,29091
GF,28334
4O,28318
XQ,28060
PR,27933
JL,27695
H1,27286
UU,27071
MK,26846
GA,26060
YM,25874
U6,24982
BJ,24550
9U,24508
OZ,22957
VA,22614
BM,22260
KE,21509
CI,20727
UL,20424
BR,19812
KU,19061
B2,19032
NZ,18767
VR,17546
O6,17334
PU,16640
BF,16259
5O,16058
W4,15047
UT,15032
8Q,14935
HA,14633
EN,14236
IG,13928
X3,13633
EQ,13029
BE,13008
OB,12823
SW,12744
EL,12674
SP,12542
HU,12429
WW,12027
SF,11599
ST,11193
K6,11082
W2,10884
IZ,10873
J2,10791
MT,9699
SB,9658
PW,9438
P9,9376
UG,9373
SM,9293
KC,9243
Z8,9140
QV,9109
WB,8991
HY,8872
A9,8707
DT,8457
GQ,8425
MF,8389
3B,7861
HF,7502
OD,7437
WX,7423
VX,7136
TF,7059
TN,7021
PM,6729
HX,6544
H2,6397
ZZ,6327
GP,6044
MD,5980
UP,5841
MI,5822
5F,5767
FJ,5715
MN,5678
3S,5556
CU,5224
XL,5091
CE,5053
E9,5016
VJ,4978
HM,4964
EB,4958
FM,4879
LM,4849
KP,4773
9V,4583
BV,4481
SY,4361
BI,4259
NP,4248
BW,4206
KA,4105
TB,4092
QC,4089
TR,4035
8M,4007
RC,3931
BG,3838
2N,3834
TM,3791
XG,3696
F8,3623
UB,3173
KX,3075
AP,3052
6H,2994
OM,2986
OY,2849
CO,2769
3U,2534
3K,2523
JQ,2521
2I,2518
HO,2498
3O,2446
5Z,2381
PY,2304
L5,2280
BP,2274
WM,2247
OR,2207
M4,2078
VT,2050
9B,2031
7N,2019
3M,2018
NX,2008
YU,2007
ZH,1999
BD,1943
5H,1940
T7,1885
4U,1871
QD,1851
SX,1830
MW,1774
GL,1774
4M,1755
TA,1703
GS,1538
UO,1515
AG,1493
7R,1429
T3,1408
PZ,1397
UK,1367
CY,1360
2J,1328
VW,1324
FN,1323
GM,1313
JD,1308
WZ,1269
PX,1199
5U,1197
DX,1093
LQ,1086
B5,1068
JY,1053
7W,1049
NY,1019
YE,1013
LI,999
BL,923
NF,859
F7,856
DV,850
OA,787
M9,755
U2,722
YC,700
GR,666
5N,655
ID,593
SZ,573
FA,566
SC,547
XY,523
WP,503
SL,493
TL,481
CC,471
R7,467
P0,467
AW,446
ZE,420
HQ,419
2L,419
Y7,398
PE,374
6I,346
BB,336
AE,326
B0,305
GK,299
9K,295
NU,276
8L,272
4D,259
B7,235
Z6,227
9F,223
D4,221
UH,218
9N,215
B6,169
2M,163
R3,163
MR,162
UJ,149
FR,149
8H,142
IE,117
CG,112
HZ,110
3J,96
YJ,91
S9,87
9X,85
4B,79
LS,74
TJ,69
WG,65
U8,63
Z9,60
S3,59
7J,57
PN,52
D2,44
LJ,44
2H,42
XW,38
2D,35
W6,34
FD,34
TV,30
ZL,28
VL,27
LR,27
PD,27
7I,26
8P,24
5T,23
Z2,22
7F,22
WE,19
QZ,18
HR,18
PJ,16
IR,13
A1,12
KS,11
ZK,11
AK,11
L6,9
I5,8
D7,8
R5,7
DD,6
F9,6
2Z,5
NK,3
DP,3
NO,2
LF,2
JV,2
C2,2
RA,2
2U,2
9M,1
ZM,1
ZD,1
P1,1
OE,1
XX,1
PB,1
A2,0
8G,0
JE,0
H9,0
CN,0
B8,0
X4,0
P4,0
8F,0
5W,0
NA,0
RQ,0
P5,0
O2,0
W3,-1
UM,-4
8I,-4
V0,-61
